upper_limit,lower_limit,final_value,profit_loss
1.01,0.9,102610.0,2610.0
1.01,0.95,102610.0,2610.0
1.01,0.97,102610.0,2610.0
1.01,0.99,102610.0,2610.0
1.01,1.0,102610.0,2610.0
1.05,0.9,102610.0,2610.0
1.05,0.95,102610.0,2610.0
1.05,0.97,102610.0,2610.0
1.05,0.99,102610.0,2610.0
1.05,1.0,102610.0,2610.0
1.1,0.9,102610.0,2610.0
1.1,0.95,102610.0,2610.0
1.1,0.97,102610.0,2610.0
1.1,0.99,102610.0,2610.0
1.1,1.0,102610.0,2610.0
1.15,0.9,102610.0,2610.0
1.15,0.95,102610.0,2610.0
1.15,0.97,102610.0,2610.0
1.15,0.99,102610.0,2610.0
1.15,1.0,102610.0,2610.0
1.2,0.9,102610.0,2610.0
1.2,0.95,102610.0,2610.0
1.2,0.97,102610.0,2610.0
1.2,0.99,102610.0,2610.0
1.2,1.0,102610.0,2610.0
