upper_limit,lower_limit,final_value,profit_loss
1.01,0.95,100000.0,0.0
1.01,0.96,100000.0,0.0
1.01,0.97,100000.0,0.0
1.01,0.98,100000.0,0.0
1.01,0.99,100000.0,0.0
1.02,0.95,100000.0,0.0
1.02,0.96,100000.0,0.0
1.02,0.97,100000.0,0.0
1.02,0.98,100000.0,0.0
1.02,0.99,100000.0,0.0
1.03,0.95,100000.0,0.0
1.03,0.96,100000.0,0.0
1.03,0.97,100000.0,0.0
1.03,0.98,100000.0,0.0
1.03,0.99,100000.0,0.0
1.04,0.95,100000.0,0.0
1.04,0.96,100000.0,0.0
1.04,0.97,100000.0,0.0
1.04,0.98,100000.0,0.0
1.04,0.99,100000.0,0.0
1.05,0.95,100000.0,0.0
1.05,0.96,100000.0,0.0
1.05,0.97,100000.0,0.0
1.05,0.98,100000.0,0.0
1.05,0.99,100000.0,0.0
