Date,Open,High,Low,Close,Adj Close,Volume
2024-06-24,383.0,385.0,379.0,384.0,384.0,1413400
2024-06-25,387.0,390.0,385.0,388.0,388.0,1437300
2024-06-26,388.0,389.0,381.0,387.0,387.0,2238300
2024-06-27,387.0,387.0,383.0,385.0,385.0,1292200
2024-06-28,385.0,386.0,381.0,381.0,381.0,1471400
2024-07-01,385.0,385.0,380.0,384.0,384.0,1540200
2024-07-02,384.0,388.0,383.0,385.0,385.0,1783500
2024-07-03,381.0,394.0,380.0,389.0,389.0,2794900
2024-07-04,387.0,394.0,386.0,391.0,391.0,1548100
2024-07-05,393.0,395.0,385.0,385.0,385.0,1969500
2024-07-08,385.0,386.0,379.0,379.0,379.0,1792700
2024-07-09,379.0,382.0,375.0,379.0,379.0,1905700
2024-07-10,382.0,382.0,372.0,375.0,375.0,3244100
2024-07-11,381.0,385.0,379.0,385.0,385.0,2273800
2024-07-12,384.0,394.0,383.0,392.0,392.0,2583300
2024-07-16,390.0,392.0,386.0,389.0,389.0,1322500
2024-07-17,389.0,392.0,387.0,390.0,390.0,1528000
2024-07-18,386.0,398.0,386.0,395.0,395.0,2013300
2024-07-19,392.0,397.0,390.0,392.0,392.0,1847500
